Boana_albopunctata,Boana_faber,Boana_raniceps,Dendropsophus_eliane,Dendropsophus_melanargyrius,Dendropsophus_minutus,Dendropsophus_nanus,Dermatonotus_muelleri,Elachistocleis_bicolor,Elachistocleis_sp,Leptodactylus_chaquensis,Leptodactylus_fuscus,Leptodactylus_labyrinthicus,Physalameus_cuvieri,Physalaemus_nattereri,Rhinella_schneideri,Scinax_fuscovarius
5,0,2,0,0,0,4,0,0,0,0,8,0,5,0,2,0
0,0,0,0,0,2,0,0,0,0,0,3,0,3,4,1,0
0,0,0,6,0,1,3,0,0,0,0,2,0,4,1,2,0
0,0,0,15,0,15,15,3,0,0,0,5,0,2,0,2,0
0,0,0,2,1,8,2,12,0,0,11,4,0,2,17,1,0
1,0,0,2,0,2,2,0,0,0,0,2,0,2,0,1,0
0,0,0,0,0,0,0,2,0,0,3,1,0,1,2,0,2
9,4,0,0,0,1,7,0,1,0,0,6,0,0,0,1,3
0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,3
1,0,0,1,0,2,2,0,0,1,0,3,1,0,0,1,3
0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,3
0,0,0,5,0,4,3,0,0,0,0,2,0,0,0,0,3
4,0,0,5,0,0,2,0,0,0,0,3,0,0,0,0,0
0,0,0,2,0,2,2,0,0,0,0,6,0,0,1,0,0
